Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.764818e-05
1.005776e+01	-1.724540e-05
1.011585e+01	-1.776507e-05
1.017428e+01	-1.806016e-05
1.023305e+01	-1.843940e-05
1.029215e+01	-1.872834e-05
1.035160e+01	-1.879968e-05
1.041139e+01	-1.886733e-05
1.047153e+01	-1.928217e-05
1.053201e+01	-1.901570e-05
1.059284e+01	-1.983520e-05
1.065403e+01	-1.989591e-05
1.071556e+01	-1.979127e-05
1.077746e+01	-2.036680e-05
1.083971e+01	-2.019652e-05
1.090232e+01	-2.029545e-05
1.096529e+01	-2.091653e-05
1.102862e+01	-2.113059e-05
1.109232e+01	-2.153288e-05
1.115639e+01	-2.173194e-05
1.122083e+01	-2.195848e-05
1.128564e+01	-2.213260e-05
1.135083e+01	-2.236221e-05
1.141639e+01	-2.292459e-05
1.148233e+01	-2.314298e-05
1.154865e+01	-2.309084e-05
1.161536e+01	-2.341217e-05
1.168245e+01	-2.414077e-05
1.174992e+01	-2.421987e-05
1.181779e+01	-2.450147e-05
1.188605e+01	-2.456257e-05
1.195470e+01	-2.488490e-05
1.202375e+01	-2.526364e-05
1.209320e+01	-2.565744e-05
1.216305e+01	-2.575928e-05
1.223330e+01	-2.556685e-05
1.230396e+01	-2.660343e-05
1.237503e+01	-2.682122e-05
1.244651e+01	-2.757339e-05
1.251840e+01	-2.704680e-05
1.259070e+01	-2.780936e-05
1.266343e+01	-2.808360e-05
1.273657e+01	-2.878947e-05
1.281014e+01	-2.818860e-05
1.288413e+01	-2.831263e-05
1.295855e+01	-2.892034e-05
1.303339e+01	-2.993529e-05
1.310867e+01	-2.964609e-05
1.318439e+01	-2.986226e-05
1.326054e+01	-3.089126e-05
1.333713e+01	-3.102164e-05
1.341417e+01	-3.118150e-05
1.349165e+01	-3.176319e-05
1.356958e+01	-3.146433e-05
1.364795e+01	-3.187512e-05
1.372678e+01	-3.342527e-05
1.380607e+01	-3.363735e-05
1.388581e+01	-3.404690e-05
1.396602e+01	-3.410982e-05
1.404668e+01	-3.466005e-05
1.412782e+01	-3.476697e-05
1.420942e+01	-3.533827e-05
1.429149e+01	-3.555687e-05
1.437404e+01	-3.537189e-05
1.445706e+01	-3.678599e-05
1.454057e+01	-3.718100e-05
1.462455e+01	-3.705653e-05
1.470902e+01	-3.727679e-05
1.479398e+01	-3.820710e-05
1.487943e+01	-3.847979e-05
1.496537e+01	-3.938009e-05
1.505181e+01	-3.997205e-05
1.513875e+01	-4.022908e-05
1.522619e+01	-4.095198e-05
1.531414e+01	-4.130839e-05
1.540259e+01	-4.160346e-05
1.549156e+01	-4.143127e-05
1.558103e+01	-4.202420e-05
1.567103e+01	-4.321720e-05
1.576155e+01	-4.328775e-05
1.585258e+01	-4.344956e-05
1.594415e+01	-4.493232e-05
1.603624e+01	-4.525275e-05
1.612886e+01	-4.601677e-05
1.622202e+01	-4.534563e-05
1.631572e+01	-4.661871e-05
1.640996e+01	-4.678145e-05
1.650474e+01	-4.718038e-05
1.660008e+01	-4.840614e-05
1.669596e+01	-4.871167e-05
1.679239e+01	-4.999027e-05
1.688938e+01	-4.948296e-05
1.698694e+01	-5.077552e-05
1.708505e+01	-5.142166e-05
1.718373e+01	-5.111941e-05
1.728299e+01	-5.252807e-05
