Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.797917e-05
1.005776e+01	-1.818747e-05
1.011585e+01	-1.839818e-05
1.017428e+01	-1.861133e-05
1.023305e+01	-1.882694e-05
1.029215e+01	-1.904506e-05
1.035160e+01	-1.926570e-05
1.041139e+01	-1.948890e-05
1.047153e+01	-1.971468e-05
1.053201e+01	-1.994308e-05
1.059284e+01	-2.017413e-05
1.065403e+01	-2.040785e-05
1.071556e+01	-2.064428e-05
1.077746e+01	-2.088345e-05
1.083971e+01	-2.112538e-05
1.090232e+01	-2.137013e-05
1.096529e+01	-2.161771e-05
1.102862e+01	-2.186815e-05
1.109232e+01	-2.212151e-05
1.115639e+01	-2.237779e-05
1.122083e+01	-2.263704e-05
1.128564e+01	-2.289929e-05
1.135083e+01	-2.316459e-05
1.141639e+01	-2.343296e-05
1.148233e+01	-2.370443e-05
1.154865e+01	-2.397906e-05
1.161536e+01	-2.425686e-05
1.168245e+01	-2.453788e-05
1.174992e+01	-2.482216e-05
1.181779e+01	-2.510973e-05
1.188605e+01	-2.540063e-05
1.195470e+01	-2.569490e-05
1.202375e+01	-2.599259e-05
1.209320e+01	-2.629371e-05
1.216305e+01	-2.659833e-05
1.223330e+01	-2.690648e-05
1.230396e+01	-2.721820e-05
1.237503e+01	-2.753353e-05
1.244651e+01	-2.785251e-05
1.251840e+01	-2.817519e-05
1.259070e+01	-2.850161e-05
1.266343e+01	-2.883180e-05
1.273657e+01	-2.916583e-05
1.281014e+01	-2.950372e-05
1.288413e+01	-2.984553e-05
1.295855e+01	-3.019130e-05
1.303339e+01	-3.054107e-05
1.310867e+01	-3.089489e-05
1.318439e+01	-3.125282e-05
1.326054e+01	-3.161489e-05
1.333713e+01	-3.198116e-05
1.341417e+01	-3.235167e-05
1.349165e+01	-3.272647e-05
1.356958e+01	-3.310561e-05
1.364795e+01	-3.348915e-05
1.372678e+01	-3.387713e-05
1.380607e+01	-3.426960e-05
1.388581e+01	-3.466663e-05
1.396602e+01	-3.506825e-05
1.404668e+01	-3.547452e-05
1.412782e+01	-3.588550e-05
1.420942e+01	-3.630124e-05
1.429149e+01	-3.672180e-05
1.437404e+01	-3.714723e-05
1.445706e+01	-3.757759e-05
1.454057e+01	-3.801294e-05
1.462455e+01	-3.845332e-05
1.470902e+01	-3.889881e-05
1.479398e+01	-3.934946e-05
1.487943e+01	-3.980534e-05
1.496537e+01	-4.026649e-05
1.505181e+01	-4.073299e-05
1.513875e+01	-4.120489e-05
1.522619e+01	-4.168226e-05
1.531414e+01	-4.216516e-05
1.540259e+01	-4.265365e-05
1.549156e+01	-4.314780e-05
1.558103e+01	-4.364768e-05
1.567103e+01	-4.415335e-05
1.576155e+01	-4.466487e-05
1.585258e+01	-4.518232e-05
1.594415e+01	-4.570577e-05
1.603624e+01	-4.623528e-05
1.612886e+01	-4.677093e-05
1.622202e+01	-4.731278e-05
1.631572e+01	-4.786091e-05
1.640996e+01	-4.841539e-05
1.650474e+01	-4.897629e-05
1.660008e+01	-4.954369e-05
1.669596e+01	-5.011766e-05
1.679239e+01	-5.069829e-05
1.688938e+01	-5.128564e-05
1.698694e+01	-5.187979e-05
1.708505e+01	-5.248083e-05
1.718373e+01	-5.308884e-05
1.728299e+01	-5.370388e-05
1.738281e+01	-5.432605e-05
1.748322e+01	-5.495542e-05
1.758420e+01	-5.559210e-05
1.768576e+01	-5.623614e-05
1.778792e+01	-5.688765e-05
1.789066e+01	-5.754670e-05
1.799399e+01	-5.821339e-05
1.809793e+01	-5.888781e-05
