Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.623869e-05
1.005776e+01	-1.640329e-05
1.011585e+01	-1.643537e-05
1.017428e+01	-1.677886e-05
1.023305e+01	-1.697951e-05
1.029215e+01	-1.690263e-05
1.035160e+01	-1.748673e-05
1.041139e+01	-1.757200e-05
1.047153e+01	-1.743794e-05
1.053201e+01	-1.757908e-05
1.059284e+01	-1.795591e-05
1.065403e+01	-1.844169e-05
1.071556e+01	-1.847304e-05
1.077746e+01	-1.877700e-05
1.083971e+01	-1.920419e-05
1.090232e+01	-1.893302e-05
1.096529e+01	-1.917970e-05
1.102862e+01	-1.978752e-05
1.109232e+01	-1.984487e-05
1.115639e+01	-2.008000e-05
1.122083e+01	-2.025250e-05
1.128564e+01	-2.007099e-05
1.135083e+01	-2.099904e-05
1.141639e+01	-2.075830e-05
1.148233e+01	-2.154052e-05
1.154865e+01	-2.137583e-05
1.161536e+01	-2.194475e-05
1.168245e+01	-2.234053e-05
1.174992e+01	-2.224079e-05
1.181779e+01	-2.251052e-05
1.188605e+01	-2.270869e-05
1.195470e+01	-2.258581e-05
1.202375e+01	-2.308120e-05
1.209320e+01	-2.356899e-05
1.216305e+01	-2.363483e-05
1.223330e+01	-2.429718e-05
1.230396e+01	-2.401155e-05
1.237503e+01	-2.462139e-05
1.244651e+01	-2.463691e-05
1.251840e+01	-2.520254e-05
1.259070e+01	-2.564186e-05
1.266343e+01	-2.618347e-05
1.273657e+01	-2.600679e-05
1.281014e+01	-2.639869e-05
1.288413e+01	-2.658814e-05
1.295855e+01	-2.684147e-05
1.303339e+01	-2.783840e-05
1.310867e+01	-2.746963e-05
1.318439e+01	-2.794159e-05
1.326054e+01	-2.759930e-05
1.333713e+01	-2.858074e-05
1.341417e+01	-2.911888e-05
1.349165e+01	-2.864182e-05
1.356958e+01	-2.948985e-05
1.364795e+01	-2.957121e-05
1.372678e+01	-3.019806e-05
1.380607e+01	-3.042077e-05
1.388581e+01	-3.136762e-05
1.396602e+01	-3.192556e-05
1.404668e+01	-3.187392e-05
1.412782e+01	-3.223961e-05
1.420942e+01	-3.204296e-05
1.429149e+01	-3.318853e-05
1.437404e+01	-3.306045e-05
1.445706e+01	-3.301442e-05
1.454057e+01	-3.460003e-05
1.462455e+01	-3.480526e-05
1.470902e+01	-3.494634e-05
1.479398e+01	-3.509768e-05
1.487943e+01	-3.544054e-05
1.496537e+01	-3.592785e-05
1.505181e+01	-3.630324e-05
1.513875e+01	-3.660978e-05
1.522619e+01	-3.741078e-05
1.531414e+01	-3.780684e-05
1.540259e+01	-3.806759e-05
1.549156e+01	-3.815874e-05
1.558103e+01	-3.900984e-05
1.567103e+01	-3.946612e-05
1.576155e+01	-3.985780e-05
1.585258e+01	-3.963724e-05
1.594415e+01	-4.048115e-05
1.603624e+01	-4.121611e-05
1.612886e+01	-4.236563e-05
1.622202e+01	-4.317924e-05
1.631572e+01	-4.333578e-05
1.640996e+01	-4.331431e-05
1.650474e+01	-4.317797e-05
1.660008e+01	-4.442717e-05
1.669596e+01	-4.479945e-05
1.679239e+01	-4.594253e-05
1.688938e+01	-4.551491e-05
1.698694e+01	-4.689708e-05
1.708505e+01	-4.712702e-05
1.718373e+01	-4.782207e-05
1.728299e+01	-4.921377e-05
1.738281e+01	-4.912717e-05
1.748322e+01	-4.951056e-05
1.758420e+01	-4.964988e-05
1.768576e+01	-5.007350e-05
1.778792e+01	-5.114950e-05
1.789066e+01	-5.185816e-05
1.799399e+01	-5.192742e-05
