Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.481974e-05
1.005776e+01	-1.499143e-05
1.011585e+01	-1.516511e-05
1.017428e+01	-1.534080e-05
1.023305e+01	-1.551852e-05
1.029215e+01	-1.569831e-05
1.035160e+01	-1.588018e-05
1.041139e+01	-1.606416e-05
1.047153e+01	-1.625026e-05
1.053201e+01	-1.643853e-05
1.059284e+01	-1.662897e-05
1.065403e+01	-1.682162e-05
1.071556e+01	-1.701650e-05
1.077746e+01	-1.721365e-05
1.083971e+01	-1.741307e-05
1.090232e+01	-1.761480e-05
1.096529e+01	-1.781888e-05
1.102862e+01	-1.802531e-05
1.109232e+01	-1.823414e-05
1.115639e+01	-1.844539e-05
1.122083e+01	-1.865908e-05
1.128564e+01	-1.887525e-05
1.135083e+01	-1.909393e-05
1.141639e+01	-1.931514e-05
1.148233e+01	-1.953891e-05
1.154865e+01	-1.976527e-05
1.161536e+01	-1.999425e-05
1.168245e+01	-2.022589e-05
1.174992e+01	-2.046022e-05
1.181779e+01	-2.069725e-05
1.188605e+01	-2.093703e-05
1.195470e+01	-2.117960e-05
1.202375e+01	-2.142497e-05
1.209320e+01	-2.167318e-05
1.216305e+01	-2.192427e-05
1.223330e+01	-2.217827e-05
1.230396e+01	-2.243521e-05
1.237503e+01	-2.269513e-05
1.244651e+01	-2.295805e-05
1.251840e+01	-2.322403e-05
1.259070e+01	-2.349309e-05
1.266343e+01	-2.376526e-05
1.273657e+01	-2.404059e-05
1.281014e+01	-2.431910e-05
1.288413e+01	-2.460084e-05
1.295855e+01	-2.488585e-05
1.303339e+01	-2.517416e-05
1.310867e+01	-2.546581e-05
1.318439e+01	-2.576084e-05
1.326054e+01	-2.605928e-05
1.333713e+01	-2.636119e-05
1.341417e+01	-2.666659e-05
1.349165e+01	-2.697552e-05
1.356958e+01	-2.728804e-05
1.364795e+01	-2.760418e-05
1.372678e+01	-2.792398e-05
1.380607e+01	-2.824749e-05
1.388581e+01	-2.857474e-05
1.396602e+01	-2.890579e-05
1.404668e+01	-2.924067e-05
1.412782e+01	-2.957943e-05
1.420942e+01	-2.992211e-05
1.429149e+01	-3.026877e-05
1.437404e+01	-3.061944e-05
1.445706e+01	-3.097417e-05
1.454057e+01	-3.133302e-05
1.462455e+01	-3.169602e-05
1.470902e+01	-3.206322e-05
1.479398e+01	-3.243468e-05
1.487943e+01	-3.281045e-05
1.496537e+01	-3.319056e-05
1.505181e+01	-3.357508e-05
1.513875e+01	-3.396406e-05
1.522619e+01	-3.435754e-05
1.531414e+01	-3.475558e-05
1.540259e+01	-3.515823e-05
1.549156e+01	-3.556555e-05
1.558103e+01	-3.597758e-05
1.567103e+01	-3.639439e-05
1.576155e+01	-3.681603e-05
1.585258e+01	-3.724255e-05
1.594415e+01	-3.767401e-05
1.603624e+01	-3.811048e-05
1.612886e+01	-3.855200e-05
1.622202e+01	-3.899863e-05
1.631572e+01	-3.945044e-05
1.640996e+01	-3.990748e-05
1.650474e+01	-4.036982e-05
1.660008e+01	-4.083751e-05
1.669596e+01	-4.131062e-05
1.679239e+01	-4.178921e-05
1.688938e+01	-4.227335e-05
1.698694e+01	-4.276310e-05
1.708505e+01	-4.325852e-05
1.718373e+01	-4.375968e-05
1.728299e+01	-4.426664e-05
1.738281e+01	-4.477948e-05
1.748322e+01	-4.529826e-05
1.758420e+01	-4.582305e-05
1.768576e+01	-4.635392e-05
1.778792e+01	-4.689094e-05
1.789066e+01	-4.743418e-05
1.799399e+01	-4.798372e-05
1.809793e+01	-4.853962e-05
1.820246e+01	-4.910196e-05
1.830760e+01	-4.967082e-05
1.841334e+01	-5.024627e-05
1.851969e+01	-5.082838e-05
1.862666e+01	-5.141724e-05
1.873425e+01	-5.201292e-05
1.884246e+01	-5.261550e-05
1.895129e+01	-5.322506e-05
1.906075e+01	-5.384168e-05
1.917085e+01	-5.446545e-05
1.928158e+01	-5.509644e-05
1.939295e+01	-5.573475e-05
1.950496e+01	-5.638045e-05
1.961762e+01	-5.703362e-05
1.973093e+01	-5.769437e-05
1.984490e+01	-5.836277e-05
1.995952e+01	-5.903892e-05
2.007480e+01	-5.972289e-05
2.019076e+01	-6.041480e-05
2.030738e+01	-6.111471e-05
2.042467e+01	-6.182274e-05
2.054264e+01	-6.253897e-05
2.066130e+01	-6.326349e-05
2.078064e+01	-6.399641e-05
2.090066e+01	-6.473782e-05
2.102139e+01	-6.548782e-05
2.114280e+01	-6.624651e-05
2.126492e+01	-6.701399e-05
2.138775e+01	-6.779036e-05
2.151128e+01	-6.857573e-05
2.163553e+01	-6.937019e-05
2.176050e+01	-7.017386e-05
2.188619e+01	-7.098683e-05
2.201260e+01	-7.180923e-05
2.213974e+01	-7.264115e-05
2.226762e+01	-7.348271e-05
2.239624e+01	-7.433402e-05
2.252560e+01	-7.519520e-05
2.265571e+01	-7.606634e-05
2.278656e+01	-7.694759e-05
2.291818e+01	-7.783904e-05
2.305055e+01	-7.874082e-05
2.318369e+01	-7.965304e-05
2.331760e+01	-8.057584e-05
2.345228e+01	-8.150932e-05
2.358774e+01	-8.245362e-05
2.372398e+01	-8.340886e-05
2.386101e+01	-8.437517e-05
2.399883e+01	-8.535267e-05
2.413745e+01	-8.634149e-05
2.427686e+01	-8.734177e-05
2.441709e+01	-8.835364e-05
2.455812e+01	-8.937723e-05
2.469997e+01	-9.041268e-05
2.484263e+01	-9.146013e-05
2.498612e+01	-9.251971e-05
2.513044e+01	-9.359156e-05
2.527559e+01	-9.467583e-05
2.542158e+01	-9.577267e-05
2.556842e+01	-9.688221e-05
2.571610e+01	-9.800460e-05
2.586463e+01	-9.914000e-05
2.601403e+01	-1.002886e-04
2.616428e+01	-1.014504e-04
2.631541e+01	-1.026257e-04
2.646740e+01	-1.038147e-04
2.662028e+01	-1.050174e-04
2.677404e+01	-1.062340e-04
2.692868e+01	-1.074647e-04
2.708422e+01	-1.087097e-04
2.724066e+01	-1.099692e-04
2.739800e+01	-1.112432e-04
2.755625e+01	-1.125319e-04
2.771541e+01	-1.138356e-04
2.787550e+01	-1.151544e-04
2.803650e+01	-1.164885e-04
2.819844e+01	-1.178380e-04
2.836131e+01	-1.192032e-04
2.852513e+01	-1.205842e-04
2.868989e+01	-1.219812e-04
2.885560e+01	-1.233943e-04
2.902227e+01	-1.248239e-04
2.918990e+01	-1.262700e-04
2.935850e+01	-1.277328e-04
2.952807e+01	-1.292126e-04
2.969863e+01	-1.307096e-04
2.987016e+01	-1.322238e-04
3.004269e+01	-1.337557e-04
3.021622e+01	-1.353052e-04
3.039075e+01	-1.368728e-04
3.056628e+01	-1.384585e-04
3.074283e+01	-1.400625e-04
3.092040e+01	-1.416851e-04
3.109900e+01	-1.433266e-04
3.127862e+01	-1.449870e-04
3.145929e+01	-1.466667e-04
3.164099e+01	-1.483659e-04
3.182375e+01	-1.500847e-04
3.200756e+01	-1.518234e-04
3.219244e+01	-1.535823e-04
3.237838e+01	-1.553616e-04
3.256540e+01	-1.571615e-04
