Freq.	V(n028)/V(n012)
1.00000000000000e+01	(-2.79598735529137e-03dB,-1.13723633143311e-01°)
1.00577306300174e+01	(-2.79618359491736e-03dB,-1.14380165120273e-01°)
1.01157945425990e+01	(-2.79638210754836e-03dB,-1.15040487267180e-01°)
1.01741936618061e+01	(-2.79658291848989e-03dB,-1.15704621465339e-01°)
1.02329299228075e+01	(-2.79678605472977e-03dB,-1.16372589720815e-01°)
1.02920052719443e+01	(-2.79699154295392e-03dB,-1.17044414167938e-01°)
1.03514216667934e+01	(-2.79719941113507e-03dB,-1.17720117067150e-01°)
1.04111810762334e+01	(-2.79740968593408e-03dB,-1.18399720809367e-01°)
1.04712854805090e+01	(-2.79762239582336e-03dB,-1.19083247913239e-01°)
1.05317368712972e+01	(-2.79783756854803e-03dB,-1.19770721028623e-01°)
1.05925372517729e+01	(-2.79805523272232e-03dB,-1.20462162935294e-01°)
1.06536886366756e+01	(-2.79827541804474e-03dB,-1.21157596543921e-01°)
1.07151930523761e+01	(-2.79849815190639e-03dB,-1.21857044899845e-01°)
1.07770525369432e+01	(-2.79872346574115e-03dB,-1.22560531178251e-01°)
1.08392691402120e+01	(-2.79895138860704e-03dB,-1.23268078690288e-01°)
1.09018449238513e+01	(-2.79918195019196e-03dB,-1.23979710881571e-01°)
1.09647819614319e+01	(-2.79941518157098e-03dB,-1.24695451332086e-01°)
1.10280823384955e+01	(-2.79965111371597e-03dB,-1.25415323758371e-01°)
1.10917481526240e+01	(-2.79988977794026e-03dB,-1.26139352013858e-01°)
1.11557815135085e+01	(-2.80013120540962e-03dB,-1.26867560090153e-01°)
1.12201845430196e+01	(-2.80037542908018e-03dB,-1.27599972116011e-01°)
1.12849593752776e+01	(-2.80062248050262e-03dB,-1.28336612361254e-01°)
1.13501081567232e+01	(-2.80087239249321e-03dB,-1.29077505234730e-01°)
1.14156330461885e+01	(-2.80112519853673e-03dB,-1.29822675286216e-01°)
1.14815362149688e+01	(-2.80138093138869e-03dB,-1.30572147207932e-01°)
1.15478198468946e+01	(-2.80163962591140e-03dB,-1.31325945833271e-01°)
1.16144861384034e+01	(-2.80190131579704e-03dB,-1.32084096140196e-01°)
1.16815372986133e+01	(-2.80216603596678e-03dB,-1.32846623250348e-01°)
1.17489755493953e+01	(-2.80243382100029e-03dB,-1.33613552431188e-01°)
1.18168031254479e+01	(-2.80270470726860e-03dB,-1.34384909093990e-01°)
1.18850222743702e+01	(-2.80297873090832e-03dB,-1.35160718798236e-01°)
1.19536352567372e+01	(-2.80325592687439e-03dB,-1.35941007251927e-01°)
1.20226443461742e+01	(-2.80353633229126e-03dB,-1.36725800310000e-01°)
1.20920518294321e+01	(-2.80381998479267e-03dB,-1.37515123976287e-01°)
1.21618600064637e+01	(-2.80410692166803e-03dB,-1.38309004405846e-01°)
1.22320711904993e+01	(-2.80439718193249e-03dB,-1.39107467903486e-01°)
1.23026877081238e+01	(-2.80469080220502e-03dB,-1.39910540928013e-01°)
