Frequency(Hz)	Magnitude(dB)
1.000000e+01	-1.695104e-05
1.005776e+01	-1.714742e-05
1.011585e+01	-1.734608e-05
1.017428e+01	-1.754704e-05
1.023305e+01	-1.775032e-05
1.029215e+01	-1.795596e-05
1.035160e+01	-1.816399e-05
1.041139e+01	-1.837442e-05
1.047153e+01	-1.858730e-05
1.053201e+01	-1.880263e-05
1.059284e+01	-1.902047e-05
1.065403e+01	-1.924083e-05
1.071556e+01	-1.946373e-05
1.077746e+01	-1.968923e-05
1.083971e+01	-1.991733e-05
1.090232e+01	-2.014808e-05
1.096529e+01	-2.038150e-05
1.102862e+01	-2.061762e-05
1.109232e+01	-2.085649e-05
1.115639e+01	-2.109811e-05
1.122083e+01	-2.134254e-05
1.128564e+01	-2.158980e-05
1.135083e+01	-2.183992e-05
1.141639e+01	-2.209294e-05
1.148233e+01	-2.234889e-05
1.154865e+01	-2.260781e-05
1.161536e+01	-2.286973e-05
1.168245e+01	-2.313468e-05
1.174992e+01	-2.340270e-05
1.181779e+01	-2.367383e-05
1.188605e+01	-2.394810e-05
1.195470e+01	-2.422554e-05
1.202375e+01	-2.450620e-05
1.209320e+01	-2.479011e-05
1.216305e+01	-2.507731e-05
1.223330e+01	-2.536784e-05
1.230396e+01	-2.566173e-05
1.237503e+01	-2.595903e-05
1.244651e+01	-2.625977e-05
1.251840e+01	-2.656399e-05
1.259070e+01	-2.687174e-05
1.266343e+01	-2.718306e-05
1.273657e+01	-2.749798e-05
1.281014e+01	-2.781655e-05
1.288413e+01	-2.813881e-05
1.295855e+01	-2.846481e-05
1.303339e+01	-2.879458e-05
1.310867e+01	-2.912817e-05
1.318439e+01	-2.946563e-05
1.326054e+01	-2.980700e-05
1.333713e+01	-3.015232e-05
1.341417e+01	-3.050164e-05
1.349165e+01	-3.085501e-05
1.356958e+01	-3.121247e-05
1.364795e+01	-3.157407e-05
1.372678e+01	-3.193987e-05
1.380607e+01	-3.230990e-05
1.388581e+01	-3.268422e-05
1.396602e+01	-3.306287e-05
1.404668e+01	-3.344591e-05
1.412782e+01	-3.383339e-05
1.420942e+01	-3.422536e-05
1.429149e+01	-3.462187e-05
1.437404e+01	-3.502297e-05
1.445706e+01	-3.542872e-05
1.454057e+01	-3.583917e-05
1.462455e+01	-3.625437e-05
1.470902e+01	-3.667439e-05
1.479398e+01	-3.709927e-05
1.487943e+01	-3.752907e-05
1.496537e+01	-3.796386e-05
1.505181e+01	-3.840368e-05
1.513875e+01	-3.884859e-05
1.522619e+01	-3.929866e-05
1.531414e+01	-3.975395e-05
1.540259e+01	-4.021450e-05
1.549156e+01	-4.068040e-05
1.558103e+01	-4.115169e-05
1.567103e+01	-4.162844e-05
1.576155e+01	-4.211072e-05
1.585258e+01	-4.259858e-05
1.594415e+01	-4.309209e-05
1.603624e+01	-4.359132e-05
1.612886e+01	-4.409634e-05
1.622202e+01	-4.460720e-05
1.631572e+01	-4.512399e-05
1.640996e+01	-4.564676e-05
1.650474e+01	-4.617559e-05
1.660008e+01	-4.671054e-05
1.669596e+01	-4.725169e-05
1.679239e+01	-4.779911e-05
1.688938e+01	-4.835288e-05
1.698694e+01	-4.891306e-05
1.708505e+01	-4.947972e-05
1.718373e+01	-5.005296e-05
1.728299e+01	-5.063283e-05
1.738281e+01	-5.121942e-05
1.748322e+01	-5.181281e-05
1.758420e+01	-5.241307e-05
1.768576e+01	-5.302029e-05
1.778792e+01	-5.363454e-05
1.789066e+01	-5.425591e-05
1.799399e+01	-5.488447e-05
1.809793e+01	-5.552032e-05
1.820246e+01	-5.616354e-05
1.830760e+01	-5.681420e-05
1.841334e+01	-5.747241e-05
1.851969e+01	-5.813824e-05
1.862666e+01	-5.881178e-05
1.873425e+01	-5.949313e-05
1.884246e+01	-6.018237e-05
1.895129e+01	-6.087959e-05
1.906075e+01	-6.158489e-05
1.917085e+01	-6.229837e-05
1.928158e+01	-6.302010e-05
1.939295e+01	-6.375020e-05
1.950496e+01	-6.448876e-05
1.961762e+01	-6.523588e-05
1.973093e+01	-6.599165e-05
1.984490e+01	-6.675617e-05
1.995952e+01	-6.752956e-05
2.007480e+01	-6.831190e-05
2.019076e+01	-6.910331e-05
2.030738e+01	-6.990388e-05
2.042467e+01	-7.071373e-05
2.054264e+01	-7.153296e-05
2.066130e+01	-7.236168e-05
2.078064e+01	-7.320001e-05
2.090066e+01	-7.404804e-05
2.102139e+01	-7.490590e-05
2.114280e+01	-7.577370e-05
2.126492e+01	-7.665155e-05
2.138775e+01	-7.753957e-05
2.151128e+01	-7.843788e-05
2.163553e+01	-7.934660e-05
2.176050e+01	-8.026584e-05
2.188619e+01	-8.119574e-05
2.201260e+01	-8.213640e-05
2.213974e+01	-8.308797e-05
2.226762e+01	-8.405056e-05
2.239624e+01	-8.502430e-05
2.252560e+01	-8.600932e-05
2.265571e+01	-8.700575e-05
2.278656e+01	-8.801372e-05
2.291818e+01	-8.903338e-05
2.305055e+01	-9.006484e-05
2.318369e+01	-9.110826e-05
2.331760e+01	-9.216376e-05
2.345228e+01	-9.323149e-05
2.358774e+01	-9.431159e-05
2.372398e+01	-9.540421e-05
2.386101e+01	-9.650948e-05
2.399883e+01	-9.762756e-05
2.413745e+01	-9.875859e-05
2.427686e+01	-9.990272e-05
2.441709e+01	-1.010601e-04
2.455812e+01	-1.022309e-04
2.469997e+01	-1.034153e-04
2.484263e+01	-1.046133e-04
2.498612e+01	-1.058253e-04
2.513044e+01	-1.070513e-04
2.527559e+01	-1.082915e-04
2.542158e+01	-1.095461e-04
2.556842e+01	-1.108152e-04
2.571610e+01	-1.120990e-04
2.586463e+01	-1.133977e-04
2.601403e+01	-1.147114e-04
2.616428e+01	-1.160403e-04
2.631541e+01	-1.173847e-04
2.646740e+01	-1.187446e-04
2.662028e+01	-1.201203e-04
2.677404e+01	-1.215119e-04
2.692868e+01	-1.229196e-04
2.708422e+01	-1.243436e-04
2.724066e+01	-1.257842e-04
2.739800e+01	-1.272414e-04
2.755625e+01	-1.287155e-04
2.771541e+01	-1.302067e-04
2.787550e+01	-1.317152e-04
2.803650e+01	-1.332411e-04
2.819844e+01	-1.347847e-04
2.836131e+01	-1.363462e-04
2.852513e+01	-1.379258e-04
2.868989e+01	-1.395237e-04
2.885560e+01	-1.411401e-04
2.902227e+01	-1.427752e-04
2.918990e+01	-1.444292e-04
2.935850e+01	-1.461025e-04
2.952807e+01	-1.477951e-04
2.969863e+01	-1.495073e-04
2.987016e+01	-1.512393e-04
3.004269e+01	-1.529915e-04
3.021622e+01	-1.547639e-04
3.039075e+01	-1.565568e-04
3.056628e+01	-1.583705e-04
3.074283e+01	-1.602053e-04
3.092040e+01	-1.620613e-04
3.109900e+01	-1.639388e-04
3.127862e+01	-1.658380e-04
3.145929e+01	-1.677592e-04
